event_id,ts,customer_id,event_type,src_country,device_id,bytes_out,key_exchange,success
evt_000020,2026-06-13T01:36:07.391429+05:30,sys_035,file_transfer,IN,dev_sys_035,40757,ECDHE-P256,True
evt_000021,2026-06-13T01:52:54.610649+05:30,cust_0459,tls_session,IN,dev_A4CA9DC2,28096,ECDHE-P256,True
evt_000022,2026-06-13T01:58:22.040661+05:30,sys_008,tls_session,IN,dev_sys_008,41979,ECDHE-P256,True
evt_000023,2026-06-13T01:59:20.895849+05:30,cust_0464,tls_session,DE,dev_A913B1C7,28347,ECDH-P384,True
evt_000024,2026-06-13T02:18:57.590445+05:30,sys_003,tls_session,IN,dev_sys_003,35027,ECDH-P384,True
evt_000025,2026-06-13T02:56:24.138961+05:30,cust_0354,login,IN,dev_BD0B6369,584,RSA-2048,True
evt_000026,2026-06-13T03:00:34.987339+05:30,cust_0130,login,IN,dev_BD8CFF15,313,RSA-2048,True
evt_000027,2026-06-13T03:04:05.398179+05:30,cust_0428,tls_session,IN,dev_227D31FE,41636,ECDHE-P256,True
evt_000028,2026-06-13T03:06:05.610023+05:30,cust_0371,tls_session,IN,dev_93411550,16678,RSA-2048,True
evt_000029,2026-06-13T03:08:46.980773+05:30,cust_0381,vpn,IN,dev_BDFF5DBC,263,ECDHE-P256,True
evt_000030,2026-06-13T03:10:53.120550+05:30,cust_0344,login,IN,dev_CF236355,257,ECDHE-P256,False
evt_000031,2026-06-13T03:12:13.512301+05:30,cust_0040,vpn,IN,dev_A3E247CB,260,ECDHE-P256,True
evt_000032,2026-06-13T03:23:36.395691+05:30,cust_0054,login,IN,dev_9CDA1A2A,345,RSA-2048,True
evt_000033,2026-06-13T03:30:10.548732+05:30,cust_0393,tls_session,IN,dev_AA661FF1,1491,RSA-2048,True
evt_000034,2026-06-13T03:34:00.439508+05:30,cust_0376,file_transfer,IN,dev_24F30492,1198,RSA-2048,True
evt_000035,2026-06-13T03:41:57.391332+05:30,cust_0346,login,IN,dev_4D288C5C,647,ECDHE-P256,True
evt_000036,2026-06-13T03:44:25.016383+05:30,cust_0037,login,IN,dev_2C7F47E8,361,ECDHE-P256,True
evt_000037,2026-06-13T03:44:48.188695+05:30,cust_0477,tls_session,IN,dev_577E5188,5940,ECDHE-P256,True
evt_000038,2026-06-13T03:45:12.127972+05:30,cust_0113,tls_session,IN,dev_071FBC45,7086,RSA-2048,True
evt_000039,2026-06-13T03:49:58.815162+05:30,cust_0136,tls_session,IN,dev_7FB95593,9794,ECDHE-P256,True
evt_000040,2026-06-13T03:59:31.168614+05:30,cust_0008,login,IN,dev_DBDDE131,521,ECDHE-P256,True
evt_000041,2026-06-13T04:10:46.495051+05:30,cust_0108,tls_session,IN,dev_3CBDA478,2844,ECDH-P384,True
evt_000042,2026-06-13T04:10:59.086989+05:30,cust_0139,tls_session,NG,dev_C016B0A6,3820,ECDHE-P256,True
evt_000043,2026-06-13T04:21:01.574109+05:30,cust_0129,vpn,IN,dev_F7F92C14,438,ML-KEM-768,True
evt_000044,2026-06-13T04:49:42.197475+05:30,sys_010,tls_session,IN,dev_sys_010,33395,ECDHE-P256,True
evt_000045,2026-06-13T04:57:20.549548+05:30,cust_0189,file_transfer,IN,dev_5CA5EBAA,5654,RSA-2048,True
evt_000046,2026-06-13T04:58:30.891366+05:30,cust_0139,file_transfer,IN,dev_0077B943,6904,ECDHE-P256,True
evt_000047,2026-06-13T04:58:44.162867+05:30,cust_0351,tls_session,SG,dev_B1DFC5B3,5122,ECDHE-P256,True
evt_000048,2026-06-13T05:12:00.176931+05:30,cust_0486,login,IN,dev_0C90C007,405,ECDHE-P256,True
evt_000049,2026-06-13T05:13:25.500383+05:30,cust_0195,login,IN,dev_A39EF0A6,623,ML-KEM-768,True
evt_000050,2026-06-13T05:30:42.808678+05:30,cust_0374,file_transfer,IN,dev_90B9C6AC,6973,ECDHE-P256,True
evt_000051,2026-06-13T05:33:19.644833+05:30,sys_008,vpn,IN,dev_sys_008,45962,ECDHE-P256,True
evt_000052,2026-06-13T05:36:00.866289+05:30,sys_005,vpn,IN,dev_sys_005,29849,RSA-2048,True
evt_000053,2026-06-13T05:39:47.947414+05:30,cust_0104,login,IN,dev_4A7CF48D,302,ECDHE-P256,True
evt_000054,2026-06-13T05:41:11.398963+05:30,cust_0183,file_transfer,IN,dev_68C037CE,23200,ECDHE-P256,True
evt_000055,2026-06-13T05:41:21.589242+05:30,cust_0112,file_transfer,IN,dev_B5833701,3461,ECDH-P384,True
evt_000056,2026-06-13T05:48:17.178898+05:30,cust_0043,vpn,IN,dev_2667A408,302,ML-KEM-768,True
evt_000057,2026-06-13T05:48:49.103362+05:30,sys_011,tls_session,IN,dev_sys_011,53339,RSA-2048,True
evt_000058,2026-06-13T05:49:07.135360+05:30,cust_0121,vpn,IN,dev_7AB0B46F,399,RSA-2048,True
evt_000059,2026-06-13T05:53:48.906354+05:30,cust_0393,tls_session,IN,dev_AA661FF1,88819,ECDHE-P256,True
evt_000060,2026-06-13T06:02:51.315713+05:30,sys_040,vpn,IN,dev_sys_040,61783,ECDHE-P256,True
evt_000061,2026-06-13T06:06:15.870161+05:30,cust_0147,file_transfer,IN,dev_EAB17EAF,13992,ML-KEM-768,True
evt_000062,2026-06-13T06:06:44.725420+05:30,cust_0231,tls_session,IN,dev_384D5B5E,10427,ECDH-P384,True
evt_000063,2026-06-13T06:12:29.415982+05:30,cust_0334,file_transfer,IN,dev_360C8FFA,2752,ECDHE-P256,True
evt_000064,2026-06-13T06:16:59.552778+05:30,cust_0381,login,IN,dev_E4FA3D80,545,RSA-2048,True
evt_000065,2026-06-13T06:28:17.753093+05:30,sys_035,tls_session,IN,dev_sys_035,35090,ECDHE-P256,True
evt_000066,2026-06-13T06:39:34.329196+05:30,cust_0454,tls_session,IN,dev_6491C958,6385,ECDHE-P256,True
evt_000067,2026-06-13T06:47:10.116801+05:30,cust_0323,login,IN,dev_7B7620D0,471,ECDHE-P256,True
evt_000068,2026-06-13T06:54:28.773634+05:30,cust_0046,tls_session,IN,dev_B4F2222D,25431,RSA-2048,True
evt_000069,2026-06-13T06:56:41.915054+05:30,cust_0325,vpn,IN,dev_A5AF2A0E,352,ECDHE-P256,True
evt_000070,2026-06-13T07:04:03.167463+05:30,sys_016,vpn,IN,dev_sys_016,34492,RSA-2048,True
evt_000071,2026-06-13T07:04:15.515010+05:30,cust_0178,tls_session,IN,dev_8265C332,20366,ECDHE-P256,True
evt_000072,2026-06-13T07:11:10.968021+05:30,sys_039,tls_session,IN,dev_sys_039,55296,ECDHE-P256,True
evt_000073,2026-06-13T07:23:45.052408+05:30,cust_0098,login,IN,dev_B9AE6FBF,373,RSA-1024,True
evt_000074,2026-06-13T07:25:57.170174+05:30,cust_0335,file_transfer,IN,dev_C1BA30EC,14847,ECDHE-P256,True
evt_000075,2026-06-13T07:35:38.827058+05:30,cust_0039,vpn,IN,dev_7684319E,937,ECDH-P384,True
evt_000076,2026-06-13T07:44:10.111884+05:30,sys_017,file_transfer,IN,dev_sys_017,30213,ML-KEM-768,True
evt_000077,2026-06-13T07:57:31.456737+05:30,cust_0283,login,IN,dev_DF3FBED0,192,ML-KEM-768,True
evt_000078,2026-06-13T07:57:36.630768+05:30,cust_0229,login,IN,dev_607FC29F,142,RSA-2048,True
evt_000079,2026-06-13T08:14:00.423031+05:30,cust_0032,tls_session,IN,dev_8A3C0ED1,2164,RSA-2048,True
evt_000080,2026-06-13T08:18:03.763046+05:30,cust_0242,login,IN,dev_9E559554,945,RSA-2048,True
evt_000081,2026-06-13T08:25:45.563013+05:30,sys_002,file_transfer,IN,dev_sys_002,72839,RSA-2048,True
evt_000082,2026-06-13T08:30:38.116800+05:30,cust_0465,tls_session,IN,dev_143C2A9D,26396,ECDHE-P256,True
evt_000083,2026-06-13T08:34:54.361942+05:30,sys_022,tls_session,IN,dev_sys_022,35593,ECDH-P384,True
evt_000084,2026-06-13T08:39:26.859295+05:30,sys_028,tls_session,IN,dev_sys_028,90945,RSA-2048,True
evt_000085,2026-06-13T08:47:21.526424+05:30,cust_0080,login,IN,dev_1E4DE1E9,193,ECDH-P384,True
evt_000086,2026-06-13T08:53:05.873779+05:30,cust_0038,file_transfer,IN,dev_F37CB990,4767,RSA-2048,True
evt_000087,2026-06-13T08:53:30.113641+05:30,sys_010,file_transfer,IN,dev_sys_010,36724,ECDH-P384,True
evt_000088,2026-06-13T09:03:18.205129+05:30,sys_038,tls_session,IN,dev_sys_038,34232,ECDH-P384,True
evt_000089,2026-06-13T09:04:21.991777+05:30,cust_0347,tls_session,IN,dev_072833D2,4621,TLS1.0-RSA,True
evt_000090,2026-06-13T09:04:36.481981+05:30,sys_029,file_transfer,IN,dev_sys_029,55206,ECDH-P384,True
evt_000091,2026-06-13T09:11:40.175151+05:30,cust_0059,vpn,IN,dev_79317DE2,302,ECDHE-P256,True
evt_000092,2026-06-13T09:12:19.908932+05:30,cust_0100,vpn,GB,dev_BE5924A3,383,RSA-2048,True
evt_000093,2026-06-13T09:27:40.330656+05:30,cust_0462,vpn,IN,dev_3EBFAB35,373,RSA-2048,True
evt_000094,2026-06-13T09:34:44.522964+05:30,cust_0110,login,IN,dev_11C9DDC2,689,ECDH-P384,True
evt_000095,2026-06-13T09:47:54.649587+05:30,cust_0349,login,IN,dev_80444C81,185,RSA-2048,True
evt_000096,2026-06-13T09:48:33.756663+05:30,cust_0178,login,IN,dev_2C9779E4,540,ECDHE-P256,True
evt_000097,2026-06-13T09:54:44.667117+05:30,cust_0238,vpn,IN,dev_720F95E0,320,ECDH-P384,True
evt_000098,2026-06-13T10:04:26.535350+05:30,cust_0286,vpn,IN,dev_4BA436ED,507,ECDH-P384,True
evt_000099,2026-06-13T10:08:50.663123+05:30,cust_0462,tls_session,IN,dev_DC240A86,6794,RSA-2048,True
evt_000100,2026-06-13T10:13:33.202084+05:30,cust_0085,login,IN,dev_0663F76C,276,ECDHE-P256,True
evt_000101,2026-06-13T10:14:49.888254+05:30,cust_0190,file_transfer,IN,dev_BEEC0190,3223,ECDHE-P256,True
evt_000102,2026-06-13T10:20:33.611261+05:30,cust_0089,tls_session,IN,dev_4768B8C2,8992,RSA-1024,True
evt_000103,2026-06-13T10:30:16.176080+05:30,sys_024,tls_session,IN,dev_sys_024,65960,ECDHE-P256,True
evt_000104,2026-06-13T11:02:59.973796+05:30,cust_0014,file_transfer,IN,dev_5D05AD78,10686,TLS1.0-RSA,True
evt_000105,2026-06-13T11:05:07.382575+05:30,cust_0316,tls_session,IN,dev_7DDC9A01,5350,ECDHE-P256,True
evt_000106,2026-06-13T11:14:56.757743+05:30,sys_018,vpn,IN,dev_sys_018,24782,ECDHE-P256,True
evt_000107,2026-06-13T11:17:14.538373+05:30,cust_0391,tls_session,IN,dev_3CD6BB2E,6388,ECDHE-P256,True
evt_000108,2026-06-13T11:19:58.260574+05:30,sys_032,tls_session,IN,dev_sys_032,29084,ECDH-P384,True
evt_000109,2026-06-13T11:21:21.363069+05:30,cust_0421,vpn,IN,dev_2647963B,229,ECDHE-P256,True
evt_000110,2026-06-13T11:21:23.359333+05:30,cust_0249,login,IN,dev_9926535A,500,ECDH-P384,True
evt_000111,2026-06-13T11:25:31.647751+05:30,sys_036,tls_session,IN,dev_sys_036,69428,ECDH-P384,True
evt_000112,2026-06-13T11:26:13.558968+05:30,cust_0110,login,IN,dev_5F202086,150,ECDHE-P256,True
evt_000113,2026-06-13T11:27:13.110205+05:30,sys_022,tls_session,IN,dev_sys_022,31991,ECDHE-P256,True
evt_000114,2026-06-13T11:32:33.889827+05:30,cust_0320,tls_session,IN,dev_1E02ECAC,8776,RSA-2048,True
evt_000115,2026-06-13T11:38:22.008986+05:30,cust_0255,login,IN,dev_50F3CE23,223,TLS1.0-RSA,True
evt_000116,2026-06-13T11:40:40.983395+05:30,cust_0035,tls_session,IN,dev_04D42F8A,8726,ECDH-P384,True
evt_000117,2026-06-13T11:43:10.144730+05:30,cust_0275,file_transfer,AE,dev_2EFE80A1,13514,ECDHE-P256,True
evt_000118,2026-06-13T11:47:50.264448+05:30,cust_0299,file_transfer,IN,dev_EA040F00,2398,ECDHE-P256,True
evt_000119,2026-06-13T11:49:49.121476+05:30,cust_0240,file_transfer,IN,dev_8D812BBE,5752,ECDH-P384,True
evt_000120,2026-06-13T11:56:34.926481+05:30,cust_0157,login,IN,dev_74C949B0,180,ECDHE-P256,True
evt_000121,2026-06-13T11:59:42.539316+05:30,cust_0390,login,IN,dev_56FDED8A,279,ECDHE-P256,True
evt_000122,2026-06-13T12:00:40.502651+05:30,cust_0344,login,IN,dev_0EA31465,514,ECDH-P384,True
evt_000123,2026-06-13T12:02:33.174586+05:30,cust_0036,vpn,CN,dev_7972D33E,210,ECDH-P384,True
evt_000124,2026-06-13T12:04:42.042876+05:30,cust_0413,tls_session,IN,dev_105733FF,2130,ECDHE-P256,True
evt_000125,2026-06-13T12:08:20.481559+05:30,cust_0263,login,IN,dev_87C73460,518,ML-KEM-768,True
evt_000126,2026-06-13T12:10:26.073259+05:30,cust_0472,login,IN,dev_1DFC2D83,427,RSA-2048,True
evt_000127,2026-06-13T12:15:08.753907+05:30,cust_0316,tls_session,IN,dev_44ACC6C2,135219,RSA-2048,True
evt_000128,2026-06-13T12:19:02.287410+05:30,cust_0302,login,AE,dev_4878608E,200,ECDHE-P256,True
evt_000129,2026-06-13T12:19:20.817846+05:30,cust_0262,vpn,IN,dev_DA6DC8E5,700,RSA-2048,True
evt_000130,2026-06-13T12:34:36.114842+05:30,cust_0386,vpn,IN,dev_0402C04E,252,ECDHE-P256,True
evt_000131,2026-06-13T12:37:34.558750+05:30,cust_0301,tls_session,IN,dev_18F606C3,3071,ECDHE-P256,True
evt_000132,2026-06-13T12:37:55.848714+05:30,cust_0097,tls_session,IN,dev_1CAD3038,3227,ECDH-P384,True
evt_000133,2026-06-13T12:53:57.597635+05:30,cust_0054,tls_session,IN,dev_B9C429CA,6735,RSA-2048,True
evt_000134,2026-06-13T13:00:15.227671+05:30,cust_0278,tls_session,IN,dev_AE74F29E,51932,ECDH-P384,True
evt_000135,2026-06-13T13:13:46.966059+05:30,cust_0347,login,IN,dev_A2BA8478,305,RSA-1024,True
evt_000136,2026-06-13T13:16:05.735277+05:30,cust_0442,tls_session,IN,dev_C9D27D8F,34468,ECDHE-P256,True
evt_000137,2026-06-13T13:20:47.714643+05:30,sys_023,file_transfer,IN,dev_sys_023,20547,ECDH-P384,True
evt_000138,2026-06-13T13:21:15.858106+05:30,cust_0499,tls_session,IN,dev_E42A81C8,18201,ECDH-P384,True
evt_000139,2026-06-13T13:26:31.750197+05:30,sys_015,file_transfer,IN,dev_sys_015,94024,RSA-2048,True
evt_000140,2026-06-13T13:28:21.664976+05:30,sys_017,file_transfer,IN,dev_sys_017,23855,ECDHE-P256,True
evt_000141,2026-06-13T13:35:01.970480+05:30,cust_0366,file_transfer,IN,dev_1393D407,7459,ECDHE-P256,True
evt_000142,2026-06-13T13:35:14.317223+05:30,cust_0194,tls_session,IN,dev_BB6AB095,3526,ECDH-P384,True
evt_000143,2026-06-13T13:38:25.924049+05:30,sys_007,tls_session,IN,dev_sys_007,56985,ECDH-P384,True
evt_000144,2026-06-13T13:44:57.404152+05:30,cust_0281,login,IN,dev_629E4FD0,452,RSA-2048,True
evt_000145,2026-06-13T14:03:37.378883+05:30,cust_0482,vpn,IN,dev_689B0ADC,254,ECDHE-P256,True
evt_000146,2026-06-13T14:14:10.149854+05:30,cust_0336,login,IN,dev_E7FC2BDF,271,ECDH-P384,True
evt_000147,2026-06-13T14:17:47.485497+05:30,cust_0210,vpn,IN,dev_6AF9A434,618,ECDH-P384,True
evt_000148,2026-06-13T14:31:39.380945+05:30,cust_0395,vpn,IN,dev_8131928A,680,ECDH-P384,True
evt_000149,2026-06-13T14:41:17.774219+05:30,cust_0204,tls_session,IN,dev_E9534608,111390,ML-KEM-768,True
evt_000150,2026-06-13T14:41:21.690995+05:30,cust_0101,vpn,IN,dev_F46CFDFD,415,ECDHE-P256,True
evt_000151,2026-06-13T15:06:48.349504+05:30,cust_0450,file_transfer,IN,dev_D66CB506,3052,ECDH-P384,True
evt_000152,2026-06-13T15:18:09.912347+05:30,cust_0248,login,IN,dev_D5F7038F,328,ECDH-P384,True
evt_000153,2026-06-13T15:18:59.563144+05:30,cust_0249,login,IN,dev_9926535A,614,ECDH-P384,True
evt_000154,2026-06-13T15:28:04.306196+05:30,cust_0194,vpn,IN,dev_BB6AB095,255,ECDHE-P256,True
evt_000155,2026-06-13T15:33:26.258321+05:30,cust_0313,login,IN,dev_B2928733,510,RSA-2048,True
evt_000156,2026-06-13T15:36:30.679451+05:30,cust_0377,login,NG,dev_2DE81170,290,ECDH-P384,True
evt_000157,2026-06-13T15:37:30.790085+05:30,sys_007,tls_session,IN,dev_sys_007,58783,ECDHE-P256,True
evt_000158,2026-06-13T15:47:46.437652+05:30,cust_0015,login,IN,dev_828BCA03,189,ECDHE-P256,True
evt_000159,2026-06-13T15:52:37.769285+05:30,cust_0474,tls_session,IN,dev_A9EAE881,8119,ECDHE-P256,True
evt_000160,2026-06-13T15:55:21.553243+05:30,cust_0202,login,IN,dev_AE05E6E2,640,RSA-2048,True
evt_000161,2026-06-13T16:08:13.916870+05:30,cust_0266,vpn,IN,dev_37EC0C89,674,ECDH-P384,True
evt_000162,2026-06-13T16:09:39.130896+05:30,cust_0064,login,IN,dev_E24BCA87,326,ECDH-P384,True
evt_000163,2026-06-13T16:20:12.176095+05:30,cust_0094,login,IN,dev_90CACAEA,374,ECDH-P384,True
evt_000164,2026-06-13T16:21:03.096190+05:30,cust_0476,file_transfer,IN,dev_076B1C3A,3309,ECDH-P384,True
evt_000165,2026-06-13T16:22:00.954898+05:30,cust_0236,login,IN,dev_795572DF,545,ECDHE-P256,True
evt_000166,2026-06-13T16:33:54.332506+05:30,cust_0212,file_transfer,IN,dev_38458303,15148,ECDHE-P256,True
evt_000167,2026-06-13T16:34:53.022813+05:30,cust_0418,tls_session,IN,dev_F21B2D2F,10468,RSA-2048,True
evt_000168,2026-06-13T16:39:44.761869+05:30,cust_0318,login,IN,dev_69DF596E,283,ECDH-P384,True
evt_000169,2026-06-13T16:51:13.427715+05:30,cust_0188,file_transfer,IN,dev_DB181292,9352,RSA-2048,True
evt_000170,2026-06-13T16:55:25.549748+05:30,cust_0221,tls_session,IN,dev_42884888,2432,ECDHE-P256,True
evt_000171,2026-06-13T17:06:06.636298+05:30,cust_0061,login,RU,dev_CF8169B1,692,ECDHE-P256,True
evt_000172,2026-06-13T17:09:40.346372+05:30,cust_0209,file_transfer,IN,dev_480AC5C5,6515,ECDH-P384,True
evt_000173,2026-06-13T17:12:54.383490+05:30,cust_0046,file_transfer,IN,dev_3B41A3DB,1847,ECDH-P384,True
evt_000174,2026-06-13T17:15:51.757155+05:30,cust_0440,login,IN,dev_95BAD670,951,RSA-2048,True
evt_000175,2026-06-13T17:17:47.989323+05:30,cust_0120,login,IN,dev_670CBFFB,298,RSA-2048,True
evt_000176,2026-06-13T17:21:22.899501+05:30,cust_0317,tls_session,GB,dev_5351F056,9713,ECDHE-P256,True
evt_000177,2026-06-13T17:47:16.251429+05:30,cust_0060,tls_session,IN,dev_2B73A41B,9678,ECDH-P384,True
evt_000178,2026-06-13T17:48:16.868542+05:30,cust_0430,file_transfer,IN,dev_341D0524,2034,ECDHE-P256,True
evt_000179,2026-06-13T17:50:55.057361+05:30,cust_0264,login,IN,dev_F012A92D,419,ECDHE-P256,True
evt_000180,2026-06-13T17:57:06.323666+05:30,cust_0265,tls_session,IN,dev_F273AAC7,1499,ECDHE-P256,True
evt_000181,2026-06-13T18:01:02.891884+05:30,cust_0016,login,IN,dev_6BD2AA39,533,RSA-1024,True
evt_000182,2026-06-13T18:10:20.671615+05:30,sys_033,file_transfer,IN,dev_sys_033,30600,ECDH-P384,True
evt_000183,2026-06-13T18:15:14.399515+05:30,cust_0447,login,IN,dev_9BC86243,656,RSA-2048,True
evt_000184,2026-06-13T18:24:48.917552+05:30,cust_0369,file_transfer,SG,dev_0BF431BB,2069,ECDHE-P256,True
evt_000185,2026-06-13T18:33:41.148246+05:30,cust_0017,login,IN,dev_DAEEE6F5,344,RSA-2048,True
evt_000186,2026-06-13T18:40:36.742162+05:30,cust_0189,login,IN,dev_5CA5EBAA,629,ECDHE-P256,True
evt_000187,2026-06-13T18:52:35.776773+05:30,cust_0255,tls_session,IN,dev_4CC352B6,16671,ECDHE-P256,True
evt_000188,2026-06-13T18:58:06.733041+05:30,sys_022,tls_session,IN,dev_sys_022,33707,ECDH-P384,True
evt_000189,2026-06-13T19:00:00.724143+05:30,sys_010,file_transfer,IN,dev_sys_010,41503,RSA-1024,True
evt_000190,2026-06-13T19:17:45.515676+05:30,sys_023,tls_session,IN,dev_sys_023,27839,ECDH-P384,True
evt_000191,2026-06-13T19:47:49.584332+05:30,cust_0411,login,IN,dev_F993FB8C,298,ECDHE-P256,True
evt_000192,2026-06-13T19:54:37.023768+05:30,cust_0204,vpn,IN,dev_FEDE2078,838,ECDHE-P256,True
evt_000193,2026-06-13T20:07:36.750912+05:30,cust_0305,login,IN,dev_3D70ECED,500,ECDHE-P256,True
evt_000194,2026-06-13T20:08:18.947776+05:30,cust_0162,vpn,IN,dev_1A3885CC,344,ECDH-P384,True
evt_000195,2026-06-13T20:16:59.262264+05:30,sys_010,tls_session,IN,dev_sys_010,40952,ECDHE-P256,True
evt_000196,2026-06-13T20:25:45.912683+05:30,cust_0200,vpn,IN,dev_F45671D0,532,ECDHE-P256,True
evt_000197,2026-06-13T20:28:42.179976+05:30,cust_0097,tls_session,IN,dev_77EBCE4B,14162,ML-KEM-768,True
evt_000198,2026-06-13T20:40:27.667436+05:30,sys_036,tls_session,IN,dev_sys_036,53041,ECDH-P384,True
evt_000199,2026-06-13T20:42:23.720483+05:30,cust_0098,login,IN,dev_B9AE6FBF,1286,ECDHE-P256,True
evt_000200,2026-06-13T20:42:58.917313+05:30,cust_0106,tls_session,IN,dev_35EE0D64,6572,ECDH-P384,True
evt_000201,2026-06-13T20:43:24.161604+05:30,cust_0405,vpn,AE,dev_0F4E4959,213,ECDHE-P256,True
evt_000202,2026-06-13T20:51:09.922510+05:30,cust_0175,tls_session,IN,dev_1C35168F,2320,ECDHE-P256,True
evt_000203,2026-06-13T20:53:51.333302+05:30,cust_0009,vpn,IN,dev_6C15C0C8,339,RSA-2048,True
evt_000204,2026-06-13T21:22:22.287373+05:30,cust_0311,login,IN,dev_5ABFFF8C,769,ECDHE-P256,True
evt_000205,2026-06-13T21:24:02.359534+05:30,cust_0100,file_transfer,IN,dev_38FACC3B,3805,ECDH-P384,True
evt_000206,2026-06-13T21:35:44.589827+05:30,cust_0488,file_transfer,IN,dev_B04E3C0E,4309,ECDH-P384,True
evt_000207,2026-06-13T21:37:03.969495+05:30,cust_0315,tls_session,IN,dev_A6DD6EE0,21093,ECDHE-P256,True
evt_000208,2026-06-13T21:40:28.759014+05:30,cust_0125,file_transfer,IN,dev_90A832A5,32044,TLS1.0-RSA,True
evt_000209,2026-06-13T21:47:02.538250+05:30,cust_0469,login,IN,dev_C663955C,550,ECDHE-P256,True
evt_000210,2026-06-13T21:49:51.552158+05:30,sys_022,file_transfer,IN,dev_sys_022,18919,ML-KEM-768,True
evt_000211,2026-06-13T21:54:24.471820+05:30,cust_0180,tls_session,RU,dev_0FF90D97,8384,ML-KEM-768,True
evt_000212,2026-06-13T21:55:22.729025+05:30,sys_004,file_transfer,IN,dev_sys_004,67958,RSA-2048,True
evt_000213,2026-06-13T22:03:05.831891+05:30,cust_0454,login,IN,dev_4AD76865,1001,ECDHE-P256,True
evt_000214,2026-06-13T22:11:17.522097+05:30,cust_0406,file_transfer,AE,dev_846D2971,7151,ECDHE-P256,True
evt_000215,2026-06-13T22:18:19.784871+05:30,cust_0344,login,IN,dev_CF236355,616,ECDH-P384,True
evt_000216,2026-06-13T22:20:55.510000+05:30,cust_0221,login,DE,dev_42884888,211,TLS1.0-RSA,True
evt_000217,2026-06-13T22:21:14.640449+05:30,cust_0478,login,IN,dev_F3E2F636,228,ECDHE-P256,True
evt_000218,2026-06-13T22:22:43.785986+05:30,cust_0047,file_transfer,IN,dev_D080589A,13081,ECDH-P384,True
evt_000219,2026-06-13T22:24:42.704539+05:30,cust_0358,file_transfer,IN,dev_3D58FBA9,17747,RSA-2048,True
evt_000220,2026-06-13T22:36:25.299202+05:30,cust_0306,login,IN,dev_02648BDF,305,ML-KEM-768,True
evt_000221,2026-06-13T22:37:01.387273+05:30,cust_0004,login,IN,dev_C826A6FC,608,ECDH-P384,True
evt_000222,2026-06-13T22:37:06.943709+05:30,sys_037,tls_session,IN,dev_sys_037,62129,ECDH-P384,True
evt_000223,2026-06-13T22:38:38.627689+05:30,cust_0154,tls_session,IN,dev_AC3C890B,6651,ECDH-P384,True
evt_000224,2026-06-13T22:47:35.493621+05:30,sys_011,file_transfer,IN,dev_sys_011,43966,TLS1.0-RSA,True
evt_000225,2026-06-13T22:50:55.785692+05:30,cust_0033,login,IN,dev_9EF30759,236,RSA-2048,True
evt_000226,2026-06-13T22:52:36.559095+05:30,cust_0472,vpn,IN,dev_E3A57E20,457,ECDH-P384,True
evt_000227,2026-06-13T22:57:42.211378+05:30,cust_0412,vpn,SG,dev_6BC254BA,328,RSA-2048,True
